Local Agency ID,Filer Name,SOS ID,Is Terminated?,Type,election_year,candidate,contest,citywide,incumbent,start,end,is_winner,ballot_status
COAK-154532,Marchon Tatmon for D7 Oakland City Council 2020,1427563,No,Candidate or Officeholder,2020,Marchon Tatmon,City Council District 7,District,FALSE,,,FALSE,Qualified
COAK-154885,Mark Hurty for Oakland School Board 2020,1422177,Yes,Candidate or Officeholder,2020,Mark Hurty,OUSD District 3,District,FALSE,,,FALSE,Qualified
COAK-155182,Meron Semedar for Oakland City Council District 3,1432998,Yes,Candidate or Officeholder,2020,Meron Semedar,City Council District 3,District,FALSE,,,FALSE,Qualified
COAK-154961,Mike Hutchinson for Oakland School Board 2020,1429072,No,Candidate or Officeholder,2020,Mike Hutchinson,OUSD District 5,District,FALSE,,,TRUE,Qualified
COAK-154877,Re-Elect Rebecca Kaplan for City Council 2020,1419466,Yes,Candidate or Officeholder,2020,Rebecca Kaplan,City Council At-Large,Citywide,TRUE,,,TRUE,Qualified
COAK-155199,Re-Elect Noel Gallo for Oakland City Council 2020,1429205,Yes,Candidate or Officeholder,2020,Noel Gallo,City Council District 5,District,TRUE,,,TRUE,Qualified
COAK-155186,Richard Santos Raya for Oakland City Council District 5 2020,1429104,Yes,Candidate or Officeholder,2020,Richard Santos Raya,City Council District 5,District,FALSE,,,FALSE,Qualified
COAK-155196,Seneca Scott for Oakland City Council District 3 2020,1446912,Yes,Candidate or Officeholder,2020,Seneca Scott,City Council District 3,District,FALSE,,,FALSE,Qualified
COAK-154944,Sheila Pope Lawrence 4 OUSD School Board 2020,1427317,Yes,Candidate or Officeholder,2020,Sheila Pope Lawrence,OUSD District 5,District,FALSE,,,FALSE,Qualified
COAK-155201,Stacy Thomas for Oakland School District 1 2020,1432118,Yes,Candidate or Officeholder,2020,Stacy Thomas,OUSD District 1,District,FALSE,,,FALSE,Qualified
COAK-155498,Treva Reid for Oakland Mayor 2022,1442079,No,Candidate or Officeholder,2022,Treva Reid,Mayor,Citywide,FALSE,,,,
COAK-153791,Treva Reid for Oakland City Council 2020 Officeholder Committee,1366759,No,Candidate or Officeholder,2020,Treva Reid,City Council District 7,District,FALSE,,1/14/2021 0:00,FALSE,Qualified
COAK-154906,Tri Ngo Election Committee Oakland District 1 Councilmember Campaign 2020,1426138,Yes,Candidate or Officeholder,2020,Tri Ngo,City Council District 1,District,FALSE,,,FALSE,Qualified
COAK-155441,Jordan for Mayor 2022,1439246,No,Candidate or Officeholder,2022,Tyron Jordan,Mayor,Citywide,FALSE,,,,
COAK-155159,"Van Cedric Williams for Oakland Unified School Board Seat 3, 2020",1427826,No,Candidate or Officeholder,2020,VanCedric Williams,OUSD District 3,District,FALSE,,,TRUE,Qualified
COAK-154900,VALERIO FOR OUSD SCHOOL BOARD 2020,1422389,Yes,Candidate or Officeholder,2020,Victor Javier Valerio,OUSD District 7,District,FALSE,,,FALSE,Qualified
COAK-155200,Zoe Lopez-Meraz for City Council 2020,1429858,Yes,Candidate or Officeholder,2020,Zoe Lopez-Meraz,City Council District 5,District,FALSE,,,FALSE,Qualified
