Filer Name,Is Terminated?,SOS ID,Type,Local Agency ID,election_year,candidate,contest,citywide,incumbent,start,end,is_winner,ballot_status
Mike Hutchinson for Oakland School Board 2020,No,1429072,Candidate or Officeholder,COAK-154961,2020,Mike Hutchinson,OUSD District 5,School District,FALSE,1/1/2020,,TRUE,Qualified
Nick Resnick for Oakland School Board 2022 District 4,No,1446325,Candidate or Officeholder,COAK-155548,2022,Nick Resnick,OUSD District 4,School District,FALSE,,,,
Re-Elect Nikki F Bas for City Council 2022,No,1423821,Candidate or Officeholder,COAK-154920,2022,Nikki Fortunato Bas,City Council District 2,District,TRUE,1/2/2020,,,
Re-Elect Noel Gallo for Oakland City Council 2020,Yes,1429205,Candidate or Officeholder,COAK-155199,2020,Noel Gallo,City Council District 5,District,TRUE,1/1/2019,,TRUE,Qualified
Support Paulina Gonzalez for Oakland City Council District 6,No,1442804,Candidate or Officeholder,COAK-155496,2022,Paulina Gonzalez,City Council District 6,District,FALSE,12/3/2021,,,
Committee to Support Pecolia Manigo for Oakland School Director 2022,No,1448946,Candidate or Officeholder,COAK-155656,2022,Pecolia Manigo,OUSD District 4,School District,FALSE,,,,
Re-Elect Rebecca Kaplan for City Council 2020,Yes,1419466,Candidate or Officeholder,COAK-154877,2020,Rebecca Kaplan,City Council At-Large,Citywide,TRUE,1/1/2019,,TRUE,Qualified
Richard Santos Raya for Oakland City Council District 5 2020,Yes,1429104,Candidate or Officeholder,COAK-155186,2020,Richard Santos Raya,City Council District 5,District,FALSE,1/1/2020,,FALSE,Qualified
Bob Jackson for Oakland City Council 2020,Yes,1421001,Candidate or Officeholder,COAK-154768,2020,"Robert ""Bob"" Jackson",City Council District 7,District,FALSE,1/1/2019,,FALSE,Qualified
Seneca Scott for Oakland City Council District 3 2020,Yes,1446912,Candidate or Officeholder,COAK-155196,2020,Seneca Scott,City Council District 3,District,FALSE,1/1/2020,,FALSE,Qualified
Seneca Scott for Oakland Mayor 2022,No,1444317,Candidate or Officeholder,COAK-155516,2022,"Seneca Scott
",Mayor,Citywide,FALSE,1/18/2022,,,
Sheila Pope Lawrence 4 OUSD School Board 2020,Yes,1427317,Candidate or Officeholder,COAK-154944,2020,Sheila Pope Lawrence,OUSD District 5,School District,FALSE,1/1/2020,,FALSE,Qualified
Sheng Thao for Oakland Mayor 2022,No,1442594,Candidate or Officeholder,COAK-155502,2022,Sheng Thao,Mayor,Citywide,FALSE,4/4/2019,,,
